,name,description,category
654,Assaulted shop owner after being refused,"Craig Brown battered a shop keeper to the ground as the man was closing up for the night. The 20-year-old bully attacked Zain Sharif outside the Premier Stores premises in Falkirk¡¯s Thornhill Road on April 2, knocking his glasses off as he punched him in ...",UK
8,"Ikea to create 1,300 UK jobs in post-Brexit boost for retail sector","Ikea will open three new stores in Exeter, Sheffield and Greenwich, taking its total number of sites in the UK to 22 Stephen Chernin/Getty Ikea announced it will create 1,300 jobs in the UK by the end of 2018, in a post-Brexit boost for Britain¡¯s retail ...",Business
15,"U.S. stock futures, dollar fall on rising concerns over Trump",TOKYO U.S. share futures and the dollar tumbled in Asian trade on Wednesday after reports President Donald Trump asked then-FBI Director James Comey to end a probe into Trump's former national security advisor. The reports raised questions over whether ...,Business
332,Health service boost call,"A candidate bidding to become an MP has called for better health facilities for residents in the borough. Jo Platt, who is Labour¡¯s candidate for Leigh, visited NHS facilities in the town and said there was scope to offer more treatments and services to ...",Politics
271,Nearly 200 knives surrendered during recent police operation to tackle knife crime,"A total of 198 knives were left in surrender bins across the Avon and Somerset area during a recent week of action to tackle knife crime, with police saying the number is encouraging. The bins were in the front offices of many police building across Avon ...",Health
527,MCC chiefs confident that Lord¡¯s will continue to host two England Tests most summers,"MCC chiefs remain hopeful Lord¡¯s will continue to host two Test matches most summers, even if England play fewer five-day fixtures from 2020. A report leaked on Wednesday indicates that the number of Tests played during the English summer will drop from ...",Sports
331,"Politics Daily Briefing: Rennie visits Bridge of Don, PM accused of disrespecting nurses, Tory activist in ¡®Hitler Youth¡¯ slur","With the Liberal Democrats whimpering along in the polls, today¡¯s biggest focus will be on the party¡¯s manifesto launch and whether it can entice voters to back Tim Farron¡¯s vision. Closer to home, Willie Rennie has been campaigning hard in the ...",Politics
517,Nick Bidwell¡¯s Notes from Germany: Goals galore in the Bundesliga,"Thrills, spills and goals, goals, goals. The penultimate round of the Bundesliga turned out to be a spectacle from start till finish: 38 goals in all (the biggest single matchday total this season); an abundance of eleventh-hour action and a pair of ...",Sports
107,Line of Duty's Martin Compston to guest star in Victoria,"Martin Compston will make a guest appearance in the new series of period drama Victoria, ITV has confirmed. The Scottish actor, who stars as detective Steve Arnott in BBC One drama Line of Duty, will appear alongside Jenna Coleman and Tom Hughes as ...",Entertainment
31,UK unemployment at lowest rate in 42 years,"These are external links and will open in a new window The UK unemployment rate has fallen to 4.6%, its lowest in 42 years, as inflation outstrips wage growth, official figures show. The number of people unemployed fell by 53,000 to 1.54 million in the ...",Business
137,Brad Pitt clowns around with Stephen Colbert in first TV appearance since Angelina Jolie split,"Brad Pitt managed to shed light relief amid his divorce to Angelina Jolie during, what many media outlets have reported as, a troubling time for the actor. The World War Z star has made his first appearance on The Late Show With Stephen Colbert during the ...",Entertainment
503,Athletic Bilbao's methods provide lessons for Premier League clubs,"In an age of global scouting networks and huge transfer fees, Athletic Club Bilbao show there is another way of doing things. How do they stay competitive with their unique philosophy? And what can be learnt from their methods? Nick Wright paid them a ...",Sports
481,Motor racing: Pressure building on Stroll as Monaco looms,"ENORMOUS PRESSURE ¡°One of the very difficult things for Lance is the enormous pressure placed upon him,¡± commented Williams technical head Paddy Lowe. ¡°He¡¯s a driver with a lot of expectation around him from not just people close to him but even ...",ScienceAndTechnology
650,Live updates as heavy rain sparks travel chaos in Suffolk and north Essex,"Rush hour motorists are being urged to take extra care this morning as there is a large amount of surface water on the majority of routes, including main roads such as the A14, A12, A120 and A140. Here are some of the incidents we have been made aware of ...",UK
480,LocoRoco Remastered review: a simple game that won't fail to put a smile on your face,"If there's one thing that Sony has always been secretly fantastic at, it's publishing quirky games. Noby Noby Boy, Katamari, Patapon and PaRappa the Rapper make up some of the games in Sony's more... odd portfolio. Trying to give some of these perhaps ...",ScienceAndTechnology
223,Israeli therapist offers surrogate sex partners,"Among other services, the Dr Ronit Aloni Clinic practices sex surrogacy, which involves pairing patients with trained sexual partners Of the clinic¡¯s 200 or so annual patients, around a third engage in direct sexual contact with a surrogate, who is a ...",Health
109,"Catherine Zeta-Jones says there's ""nothing better"" than hanging out with her kids","Catherine Zeta Jones has shared an adorable picture of her with her children - and people can't get over how grown up they are. The actress took to Instagram to share a snap of her alongside Carys, 14, and Dylan, 16, who she shares with husband Michael ...",Entertainment
752,Report: New Pirates of the Caribbean Being Held for Ransom by Internet Pirates,"It¡¯s been a dizzying few days for news about hackers demanding ransom. It¡¯s hard to tell which events are connected. But according to multiple reports, hackers are threatening to leak a major film owned by Disney, and sources tell Deadline that the ...",World
485,JCB 419S to hit the clamp at Grassland and Muck,"JCB¡¯s new 419S Agri shovel replaces the old 418S and comes with a 6.7-litre Cummins engine capable of kicking out 183hp, which equates to a 5% power rise over its predecessor. The six-speed ZF powershift gearbox lends itself to silage clamp work, says ...",ScienceAndTechnology
255,¡®Please bear with us¡¯: Lincolnshire hospital systems slowly returning,"The trust which runs hospitals in Lincolnshire has said most services will be back to normal as of today, however systems are running slower than normal as they begin to recover from Friday¡¯s cyber attack. The majority of hospital appointments in the ...",Health
365,Maidstone Borough Council suspends litter wardens after Panorama investigation into Kingdom Security,Litter wardens in Maidstone have once again been suspended from duty after it was revealed they are being paid substantial bonuses based on the amount of tickets issued. Maidstone Borough Council insists it was not aware of the extent of the ¡®litter ...,Politics
479,Range Rover exhibit opens at Solihull factory,"The whole history of the Range Rover, through its inception, all its generations and more than 50 years, is being celebrated in a new exhibition at the Jaguar Land Rover Solihull factory. To run for three years, it opens just as the new Range Rover Velar ...",ScienceAndTechnology
742,Kenyans say that Belt and Road Initiative is best model for growth,NAIROBI (Xinhua) --Kenyan President Uhuru Kenyatta said on Monday that the Belt and Road Initiative is the best model for Africa¡¯s desired progress. Kenyatta told a round-table summit of global leaders in Beijing that the continent is poised to regain ...,World
371,Labour Waspi measure to cost ?300m,The costing document for the Labour Party manifesto puts its funding commitment to help women hit by the increase to the state pension age (SPA) at ?300 million. The Waspi group was set up in 2015 to campaign against accelerated increases to the state ...,Politics
159,King Arthur movie filmed in Wales,Filmmaker Guy Ritchie shot King Arthur: Legend of the Sword from a base at Warner Bros. Studios Leavesden and also used locations in Wales. The period movie is a new adaptation of the English myth and follows young Arthur as he is forced to confront his ...,Entertainment
66,Eight GREAT North Wales firms that are inspiring Britain,Eight North Wales firms have been selected in a national list of businesses that are inspiring the country. 1000 Companies to Inspire Britain is an annual celebration of some of the fastest-growing and most dynamic small and medium-sized enterprises (SMEs ...,Business
472,Cray offers supercomputing as a service in the cloud,"Want a supercomputer but can't quite afford one? Cray and Markley may have the answer. The supercomputer builder and cloud firm have teamed up to offer a Cray supercomputer hosted by Markley, offering supercomputing as a service. The aim is to make it ...",ScienceAndTechnology
14,"ASK TONY: EDF Energy is chasing me for ?2,400 owed by my abusive ex-husband","I am being pursued by EDF Energy for a ?2,400 debt built up by my ex-husband. We were married for three years. In that time I was physically and mentally abused. I finally managed to evict him from my house with the help of police. It was only when I ...",Business
7,Uber threatened with legal action if TfL renews taxi app's licence,A union has threatened legal action if Transport for London renews Uber's licence without giving drivers more rights. The GMB union revealed plans to launch a judicial review of the taxi app¡¯s licence agreement if TfL fail to ensure drivers have a ...,Business
176,PES 2018 release date revealed on Xbox website,"Pro Evolution Soccer 2018 is set to launch on September 13, according to a product page on the official Xbox website. First spotted by True Achievements, the September 13 release date is very similar to the launch of last year¡¯s instalment. Konami is yet ...",Entertainment
337,Michael Gove debates Brexit at South Hampstead High School,In the run up to the General Election a former leadership candidate for the Conservative party took to the stage at South Hampstead High School for a lively debate with students. Tory candidate for Surrey Heath Michael Gove spoke to an audience of 400 on ...,Politics
73,Pilatus Bank whistleblower testifies about unpaid wages,"A former employee of Pilatus Bank who turned whistleblower and made claims linking the Prime Minister's wife to the secret Egrant Panama company, testified in court today in a case she has instituted against the bank over unpaid wages. The Russian woman ...",Business
489,Bellator 179 hard talk: Fight stars on Wembley card Paul Daley and Rory MacDonald et al sound off,"The four headline fighters at the Bellator MMA 179 event at Wembley Arena weighed-in with some fascinating thoughts ahead of their fights in an exclusive interview with Telegraph Sport. Paul Daley is hellbent on not losing in his 'home' patch, ten ...",Sports
693,Amnesty criticises Ethiopian government for Yonatan Tesfaye Facebook terrorism charges,"Rights group Amnesty International has criticised the decision of an Ethiopian court to charge an ex-opposition member with encouraging terrorism. Yonatan Tesfaye, former spokesman for the opposition Blue Party, was arrested in December 2015 after posting ...",World
305,Sammy Wilson: Sinn Fein¡¯s election lie about the border,"Sinn Fein¡¯s election lie that a Brexit will lead to border fences, customs posts and disruption of people and trade was exposed as nonsense by the EU¡¯s Michelle Barnier on his visit to Dublin and the subsequent remarks by the Irish foreign secretary.",Politics
449,"Call of Duty WW2 release date, trailer and gameplay reveal didn't please everyone","YouTubers are not happy with the new Call of Duty game - because it's costing them money. A series of top video bloggers, some earning hundreds of thousands of pounds a year, who usually upload constant clips about the latest shooter games have been ...",ScienceAndTechnology
436,South Korea completes plasma chamber tool for Iter,"A ceremony was held on 11 May in South Korea, to mark the end of the factory acceptance tests for the first vacuum vessel sector sub-assembly tool for the International Thermonuclear Experimental Reactor (Iter), currently under construction at Cadarache in ...",ScienceAndTechnology
242,"Who is Sania Nishtar, Pakistan's candidate to lead the World Health Organisation?","Sania Nishtar is the candidate of Pakistan to become the next director general of the World Health Organisation. A cardiologist trained to work in complex healthcare settings, the only female candidate in the race also has extensive experience working in ...",Health
129,Kate Middleton is 'worried' about Pippa's forthcoming nuptials,Kate Middleton is nervous about Pippa's wedding where her children will be a page boy and bridesmaidGetty Kate Middleton opened up about her sister Pippa's forthcoming nuptials on Saturday (20 May) at the Queen's first annual garden party of the season.,Entertainment
611,Named and shamed: The Dartford and Gravesend residents in court this week,"Daniel Patrick Finbar Gilham was sentenced on 5 May 2017 at Medway Magistrates' Court. He pleaded guilty to shoplifting, criminal damage, failing to surrender to court bail, two counts of common assault and two counts of assaulting a police officer.",UK
279,'I¡¯m suffering': woman who confronted May tells of disability cuts ordeal,"Kathy Mohan didn¡¯t know Theresa May was coming to her home town of Abingdon on Monday, but when she saw the prime minister walking around the town centre canvassing for votes, she decided she had to make herself heard. Mohan, who has struggled with her ...",Health
779,Conclusion of the London Somalia Conference,"On Thursday 11 May the UK hosted a major international conference on Somalia. Bringing together leaders from around the world, this conference accelerated progress on security sector reform, built on the international response to the ongoing drought and ...",World
234,Care watchdog issues damning report into elderly care in Edinburgh,Scotland's care watchdog has issued a damning report after an inspection of health and social work services for older people in Edinburgh found that delivery of key processes was 'unsatisfactory'. There were also four areas that the Care Inspectorate and ...,Health
51,Vodafone powers FTSE to record high on dividend rise,"Vodafone (VOD) has driven the FTSE 100 to a new record high, as investors flocked to the telecommunications giant following a rise to the dividend. Shares in the group jumped 4.1% to 219.8p after it stuck to plans to hike the final dividend to 10.03 euro ...",Business
433,VMware Horizon Cloud Is Now Allowed on Microsoft Azure Cloud,"As News Editor of Silicon UK, Roland keeps a keen eye on the daily tech news coverage for the site, while also focusing on stories around cyber security, public sector IT, innovation, AI, and gadgets. Microsoft¡¯s cloud platform continues to expand its ...",ScienceAndTechnology
629,Student in Darth Vader costume sparks armed police alert at US school,"Armed police evacuated a school after a student wearing a Darth Vader costume was mistaken for a potential attacker in a bullet-proof vest. Officers arrived at Ashwaubenon High School in Green Bay, Wisconsin, after a parent called to say they had seen ...",UK
467,Radicals: Outsiders Changing the World by Jamie Bartlett ? review,"It¡¯s often been said that most nonfiction books are really magazine articles blown up to enable publication. But that analysis is increasingly anachronistic. Magazines, with a few honourable exceptions, no longer run the kind of articles that form the ...",ScienceAndTechnology
165,David Baddiel to tour hit stand-up show 'My Family: Not The Sitcom',David Baddiel is to embark on a 2018 tour of the UK to perform his critically acclaimed stand-up show My Family: Not The Sitcom. The news follows a sold out run at London's Menier Chocolate Factory and two critically-acclaimed West End runs for the Olivier ...,Entertainment
229,Fay Maschler reviews Dandy: Join north London¡¯s green party,"Dandy in Newington Green, a pop-up turned perm, the shipping container come to land, is more or less opposite the restaurant Perilla, which had a similar trajectory. Eating at Perilla last November I ran into Ed Smith ? a local, I think ? who since ...",Health
698,Ousted FBI chief James Comey claimed in write-up of dinner with Trump that President asked him to 'LET GO' investigation into National Security Adviser Mike Flynn because 'he's ...,"Former FBI director James Comey accused President Donald Trump of asking him to close a federal investigation into disgraced general Mike Flynn during a February 14 meeting in the Oval Office. 'I hope you can let this go,' Trump told Comey, according to a ...",World
502,Manchester City 3-1 West Bromwich Albion,Kevin de Bruyne has been involved in 22 league goals this season with 16 assists and six goals Manchester City clinched an emphatic win over West Brom to move back up to third place in the Premier League with one game remaining. A point in their final game ...,Sports
741,New Senior Pastor ordained at Watton church,"On Saturday evening Watton Pentecostal Church in Mid Norfolk held an Ordination Service for their new Senior Pastor Nick Nundy, who has come into church leadership following a career serving in finance roles for Christian organisations in Norfolk.",World
274,Growing a sunflower could help blood cancer charity Bloodwise in the fight against leukaemia,Green-fingered readers are urged to see who can grow the tallest sunflower to help with the fight against blood cancer. The sunflower growing initiative for the charity Bloodwise is the idea of a four-year-old leukaemia patient called Nancy. To help raise ...,Health
69,Lot Polish introduces new aircraft on London to Warsaw route,"Lot Polish has introduced new aircraft on its London to Warsaw route. The new B737-800 NG will fly on the carrier¡¯s three times weekday daily flights, starting with one flight daily and moving to all three flights by June at the latest as another two ...",Business
296,'We've worked together for many years': PM May makes an awkward bid to laugh off claims she is about to SACK her Chancellor but refuses to say he will keep his job after June 8,Theresa May today tried to laugh off reports she could sack her Chancellor but refused to answer questions about her reshuffle plans. Reports have emerged of angry rows between Mrs May and Philip Hammond but at a joint press conference today the pair put ...,Politics
100,Jimmy McGovern: 'I cry when I write my scripts',"It's another hard-hitting drama from one of Britain's most respected writers: Jimmy McGovern's new six-part series Broken (BBC One) follows a maverick priest, played by Sean Bean, as he tries to help his troubled flock in a working class northern town.",Entertainment
457,A ¡®Must-See¡¯ Chart for Gold and Silver Aficionados,Every now and then a chart appears that provides us with a great opportunity. The following chart fits that mold. (Charts courtesy Stockcharts.com and Goldchartsrus.com). Featured is a chart that compares the EURO(DM) to the US dollar. When the trend is ...,ScienceAndTechnology
233,Medical marijuana gains ground in South America,"[Buenos Aires] Three South American countries have issued policies to regulate cannabis use for medical or recreational purposes. In recent weeks, moves that see the region taking firm steps forward to legalise the controversial plant. The move also opens ...",Health
312,General Election 2017: Who are the candidates standing in Carmarthen East and Dinefwr?,"The Carmarthen East and Dinefwr Constituency includes several Carmarthenshire communities, including Ammanford, Newcastle Emlyn, Llangadog, and Llandeilo; and part of Carmarthen town. The area has remained a stronghold for Plaid Cymru since 1997.",Politics
422,VMware expands support for Horizon Cloud to include Microsoft Azure,"VMware is to start offering users the option to host their virtual desktops and business applications in the Microsoft Azure public cloud some time in the second half of 2017. 73% of organisations are pursuing a hybrid cloud strategy, yet only 31% have a ...",ScienceAndTechnology
160,Adrian Mole Musical makes Menier London debut,"In the titular character's 50th birthday year, the Menier Chocolate Factory has today announced a brand new production of Sue Townsend¡¯s The Secret Diary Of Adrian Mole Aged 13 ¨ú - The Musical. Jake Brunger and Pippa Cleary¡¯s musical of Leicester¡¯s ...",Entertainment
521,Liverpool could face Champions League play-off with Manchester City or Arsenal,"The curtain is set to come down on the 2016/17 season at Anfield on Sunday ? but Liverpool could yet be required to return for a dramatic encore. Beat relegated Middlesbrough and Jurgen Klopp¡¯s side will be guaranteed a Champions League spot, but a ...",Sports
161,The Killers' New Album Could Be Here Sooner Than We Think...,"Producer David Fridmann has given fans a clue about the status of the follow-up to 2012's Battleborn. The Killers' new album could be on its way sooner than we think, as their music is currently being mixed. Under the news section of his website, music ...",Entertainment
697,Rose-tinted posturing,"In his opening remarks at his Washington press conference with Mahmoud Abbas, Donald Trump praised the Palestinian president for courageously signing the Declaration of Principles (DoP) ? the official name for the Oslo Agreement ? on the lawn of the ...",World
635,Lorry driver caught on camera flouting weight restriction on Swarkestone Bridge,"This is the moment a lorry driver was caught on camera smirking just moments after flouting a weight restriction on Swarkestone Bridge. The HGV driver was snapped travelling across the ancient monument on Friday, despite several weight restriction warning ...",UK
120,Man sues internet date for texting during ¡®Guardians Of The Galaxy Vol.2¡¯,"A man has made headlines for suing an internet date after she was seen texting on her mobile phone while watching the new ¡®Guardians Of The Galaxy Vol.2¡¯ movie. As Birth Movies Death reports, 37-year-old Brandon Vezmar of Austin in Texas didn¡¯t take ...",Entertainment
637,Camber Sands deaths: RNLI lifeguards begin their training after Rother District Council funding agreed,"Lifeguards at Camber Sands started their training this week as they were put through their paces on the beach where seven people died last year. The qualified beach lifeguards, who are employed by the RNLI, will now start a two-week induction programme to ...",UK
283,Sign up for Birmingham's biggest quiz night,"The city's biggest quiz night is returning to Birmingham later this year. The Marie Curie West Midlands Brain Game, which is being supported by the Birmingham Post & Mail, regularly attracts more than 500 participants and is now in its 16th year.",Health
245,Hospital and ambulance service are handed fines of more than ?3m for missing key patient targets,"The Norfolk and Norwich Hospital (NNUH) was hit with fines from the Norfolk and Waveney clinical commissioning groups (CCGs), who also handed a bill of more than ?250,000 to the region¡¯s ambulance service. The fines were suspended for the 2016/17 ...",Health
609,Tailgating tops drivers¡¯ worst habits,"Driving too close to the car in front has been revealed as the country¡¯s most hated motoring habit, viewed by most drivers as worse than middle lane hogging, undertaking and speeding. A long-term study by the AA polled 140,000 of its members over the ...",UK
473,Intersil ? Small footprint and high efficiency PMIC for application processors and system power,"Intersil has introduced a highly integrated programmable PMIC that delivers 91% efficiency at 1.1V output voltage for application processors, GPUs, FPGAs and high-performance system power. The new PMIC¡¯s low RDS(on) MOSFETs and programmable PWM frequency ...",ScienceAndTechnology
676,"Up to 1,400 workers at Argos distribution centres begin two-week strike","Deliveries to Argos stores could be ""severely disrupted"" from today after up to 1,400 warehouse workers began a two-week strike. The strike ? over job security and terms and conditions ? involves Unite members at a huge distribution centre at Barton ...",UK
641,Caught on camera!,"Thousands of motorists driving through Bedfordshire on the M1 have been caught speeding by smart motorway cameras between junctions 10 and 13. Since variable speed cameras were installed on the M1 in 2013 and 2014, 29,771 drivers have been caught exceeding ...",UK
29,Nearly $13bn needed to combat terrorism,"¡°Our industry needs to be concerned, not only for the wellbeing of our consumers, but also of the impact on brand"" Graham Pickett told the Barclays Travel Forum last week that $12.67 billion would be spent on combating terrorism within the global airline ...",Business
516,EFL has no objections to the takeover of Reading by Chinese investors Dai Yongge and Dai Xiu,"The EFL has no objections to the takeover of Reading by Chinese investors Dai Yongge and Dai Xiu Li. The change in ownership was announced on Tuesday evening, shortly after the Royals had booked their place in the Sky Bet Championship final at Wembley with ...",Sports
535,Who stays and who goes at Hull City after relegation from the Premier League?,"As Hull City prepare to say farewell to the Premier League this weekend, a host of first-team stars are facing an uncertain future. Philip Buckingham assesses who should stay and who should go ahead of a Championship return. One of the biggest plus points ...",Sports
708,"'Bloody rude' Juncker could force UK to quit Brexit talks, claims Farage","Nigel Farage has warned Jean-Claude Juncker his ""bloody rude"" behaviour and attempt to ""bully the Brits"" could force Britain to walk away from Brexit talks within months. The former Ukip leader said the EU needs to make ""grown-up, reasonable"" demands or ...",World
218,"Rise in screen time putting children's health at risk, WHO report warns","Experts warn teens are ""slaves to handheld devices"" with inactivity posing the risk of cardiovascular disease and Type 2 diabetes. Image: Three-quarters of children aged 11 to 15 use a device for more than two hours on a weekday A ""steep increase"" in the ...",Health
567,Thousands of Oakland A's fan take advantage of $19.99 ballpark pass,"The Oakland Athletics have made so many sales for a ballpark pass that they will soon have to stop selling the offer. The last couple of years the A's offered this they sold 500, but this season, just since last Thursday, they have sold about 2,000 ...",Sports
699,Donald Trump to deliver speech on Islam to Muslim leaders in Saudi Arabia,Donald Trump will give a speech on combatting radical Islam to a group of Muslim leaders in Saudi Arabia during his first trip abroad as US President. Mr Trump will speak to around 50 Muslim leaders and will take part in opening a centre there which is ...,World
191,Guardians Of The Galaxy Vol 2 gives 3D a big boost,"Amidst the box office reports doing the rounds proclaiming that Marvel and James Gunn¡¯s latest film, Guardians Of The Galaxy Vol 2, has made a lot of money (it has, and I'll come to that shortly), there¡¯s a little factoid hidden away. And that¡¯s that ...",Entertainment
56,Sunshine.co.uk brand set to live on after acquisition by On the Beach,"On the Beach will retain the Sunshine.co.uk brand and staff after acquiring it for ?12 million, the OTA has confirmed. Group chief executive Simon Cooper told TTG that Sunshine.co.uk, its employees and the premises at Cramlington, Northumberland, would ...",Business
714,Student in Darth Vader costume sparks armed police alert at US school,"Armed police evacuated a school after a student wearing a Darth Vader costume was mistaken for a potential attacker in a bullet-proof vest. Officers arrived at Ashwaubenon High School in Green Bay, Wisconsin, after a parent called to say they had seen ...",World
389,What is the Antikythera Mechanism? Five things you didn't know about 'the world's first computer',"Today's Google Doodle marks the 115th anniversary of the unearthing of the Antikythera Mechanism, a device used by the Ancient Greeks to chart the progress of the planets across the zodiac. The relic is often described as the world¡¯s first computer and ...",ScienceAndTechnology
216,"¡®Healthy Obesity Is A Myth,' Say Scientists","¡¯Healthy obesity¡¯ does not exist, according to a study of 3.5 million Britons. Having excess fat increases the risk of suffering heart disease by half, even when blood pressure and cholesterol levels are normal, the research suggests. People regarded ...",Health
53,Tundra appoints new board members,"Gunilla Carlsson, former Swedish minister for International Development Cooperation, and Cecilia Seddigh, who has more than 20 years¡¯ experience in international mutual funds and the insurance industry, have been elected to the board of Swedish boutique ...",Business
707,Turkey MPs elect new judicial board under new constitution,"Turkish lawmakers elected seven members to a reshaped judicial authority earlier today, pushing through a second of the recently approved constitutional changes that sharply increase President Recep Tayyip Erdogan¡¯s powers and every president after him.",World
333,¡®Make your voices heard¡¯: Relatives plea over plans for cemetery in Skegness,Relatives who have loved ones buried in a Skegness cemetery are concerned some others may miss out on an opportunity to put forward an argument to stop the Town Council enforcing the removal of treasured items from gravestones. Mothers of babies buried in ...,Politics
525,Kolkata have won the IPL twice in the last nine seasons.,"Sunrisers Hyderabad take on Kolkata Knight Riders in the eliminator of the Indian Premier League (IPL) 2017 at the Chinnaswamy Stadium, Bengaluru, on Wednesday, 17 May. The winner of this match will take on Mumbai Indians, who lost against Rising Pune ...",Sports
594,Daily news digest: the five biggest news stories from the last 24 hours from London and around the world,"Jeremy Corbyn promised to hit high-earners with a wave of tax hikes to fund a ¡°radical programme of hope¡± costing ?48 billion. People earning more than ?80,000 would pay a 45p rate of income tax while the 50p rate would be reintroduced to hit those ...",UK
290,Zapping your brain for peak performance,"The first time I heard that shooting electrical currents across your brain can boost learning, I thought it was a joke. For those eager to give their own brains a boost, this is good news. Various communities have sprung up to share tips and tricks on how ...",Health
313,Police officer ¡®ignored FIAU report¡¯,A lawyer complained in court a police inspector wasted time building a case on ¡°trumped up¡± charges while ignoring much more serious findings stemming from a Financial Intelligence Analysis Unit report. Joe Giglio pointed his finger at the head of the ...,Politics
170,"A history of Ringling Bros. circus, soon to close forever","The Ringling Bros. and Barnum & Bailey Circus is drawing to a close this weekend after 146 years of performances and travel that at times have been marred by tragedy and celebrated in film, but also constant. The circus has its roots in a spectacle that ...",Entertainment
244,Mental Health Awareness Week recognised,"STAFF and visitors to Civic Offices on Thursday 11 May were greeted by a public stall dedicated to providing advice and support on mental health. To mark Mental Health Awareness Week (8 ? 14 May), the council¡¯s mental health forum, MIND and Inclusion ...",Health
511,"'No matter how talented they are, players need to be given security'","VVS Laxman is into his fifth year as mentor of Sunrisers Hyderabad. In this interaction with a group of journalists, he speaks about the challenges of the job, demarcated coaching responsibilities, and keeping the team environment stable. The communication ...",Sports
576,Philippe Coutinho could move to midfield role next season ? Klopp,"It¡¯s something many Liverpool fans have long wondered why it¡¯s not already happened, but Jurgen Klopp says he could move Philippe Coutinho into the midfield three next season. Coutinho played within the Reds¡¯ midfield three, alongside Steven Gerrard ...",Sports
407,Hydra restaurants,"Eating out can be down-to-earth both in atmosphere and (with careful selection) prices ? Hydra feels like a ¡°real¡± town, with a busy produce halle just behind the central quay. Many town restaurants operate eight to nine months of the year, but ...",ScienceAndTechnology
526,Ivan Lendl cannot come back fast enough as misfiring Andy Murray shows feet of clay,"Ivan Lendl, who has helped to turn Andy Murray¡¯s fortunes around on two previous occasions, faces another major task when they link up again on Sunday. Lendl, who is based in the United States and has not worked with Murray at a tournament for nearly ...",Sports
327,Family of schoolgirl who died on Splash Canyon ¡®to sue Drayton Manor¡¯,"Evha Jannath tragically died on the Splash Canyon ride at Drayton Manor (Picture: PA) The family of Evha Jannath, the schoolgirl who died at Drayton Manor, is reportedly planning to sue the theme park for negligence. Evha, 11, was on a school trip to the ...",Politics
423,MallforAfrica Launches Dedicated Website To Give Africans Direct Access To Millions Of eBay Products,"African e-commerce platform MallforAfrica (MFA) has announced the launch of a new dedicated website for eBay shoppers in Africa. Available in Nigeria and Kenya, before a role out to other African countries, the website ebayforafrica.com see the online site ...",ScienceAndTechnology
591,Police digging up an old garage to search for murdered Danielle Jones no longer believe the schoolgirl's body was hidden there but will keep searching,"Police no longer believe the body of murdered Danielle Jones is at an old garage where they have been searching. Officers were seen digging a desolate garage block, in Thurrock, Essex, with forensic archaeologists, powertools and specialist radars brought ...",UK
644,'We are concerned' - flash flood warning for farmers as torrential rain predicted,Thirsty farmland from the recent dry spell could play a part in the predicted flash floods later today. The south-east and east of England is expected to be worst affected. It came amid what some farmers branded a ¡®drought¡¯ after the midlands and some ...,UK
95,Firms 'cautious' over future pay rises,"A small rise in average pay of only around one per cent is likely to lead to leading to a fall in living standards for a ¡°significant¡± number of workers, a study shows. A survey of 1,000 employers suggested the economy is about to be hit by a fall in ...",Business
52,Creechurch Capital named finalist at Investment Week Awards,"Discretionary fund manager, Creechurch Capital, has received recognition from Investment Week being named as a finalist in the Investment Marketing and Innovation Awards 2017. This year the business is celebrating a shortlist in the Proposition Development ...",Business
139,On The Town at Regent's Park Open Air Theatre: The lowdown on new show starring Danny Mac,"After the Regent¡¯s Park Open Air Theatre got everyone praising the lord with their production of Jesus Christ Superstar last summer, all eyes are on their next musical move. Luckily, there¡¯s not much longer to wait: On The Town opens this week ...",Entertainment
314,11 reasons why every vote always counts (even in the safest seats),Millions of people won¡¯t take part in the June 8 election in the mistaken belief their vote will not make a difference. Here are 11 reasons why it is always worth taking that trip to the polling station. 1. There is no such thing as a safe seat In 2010 ...,Politics
108,Meet Taylor Swift's new beau Joe Alwyn: The London-born rising star who has won over big-name directors with his 'disarming humility'... and still lives at home with his parents,"Following a string of high-profile but ultimately doomed romances, Taylor Swift's latest appears to be a refreshing change. The American superstar is reportedly dating little known British actor Joe Alwyn, best known for his titular role in celebrated ...",Entertainment
740,Students rewarded for contributions and achievements,"More than 500 students from Steyning Grammar¡¯s sixth form college gathered to mark the formal end of the academic year last week. The college reflections service, held on Friday (May 5) presented students with awards for characteristics such as self ...",World
46,"Tullow Oil share price gains 2.5% on oil discovery: is it a better buy than Premier Oil, BP and Shell?",The Tullow Oil plc (LON:TLW) (TLW.L) share price has gained 2.5% today after news of an oil discovery. Tullow Oil announced that the Emekuya-1 well in Block 13T in Northern Kenya has encountered approximately 75 metres of net oil pay in 2 zones. The ...,Business
4,"In America's largest oilfield, whir of activity confounds OPEC","LEA COUNTY, N.M. As oilfield workers for Lilis Energy Inc LLEX.O threaded together drill pipes one recent morning in the Permian Basin, a bulldozer cleared sagebrush to make way for the company's fifth well since January. Lilis aims to expand production ...",Business
496,Cycling: Dumoulin hammers time-trial rivals to take Giro lead,Dutchman Tom Dumoulin claimed the Giro d'Italia pink jersey when he crushed the opposition in Tuesday's individual time trial to open up a big gap at the top of the overall standings. The Team Sunweb rider clocked 50 minutes 37 seconds over the 39.8-km ...,Sports
512,"Southampton issue Van Dijk warning to Chelsea, Liverpool",Southampton chairman Ralph Krueger insists the club will no longer be bullied in the transfer market ? and insists they would reject an offer for Virgil van Dijk of ?60million. For the past seven seasons Saints have managed to finish higher than the ...,Sports
